HomeTeam,AwayTeam,HPPG,APPG,FTH,FTDA,home_poisson,away_poisson,poisson_df,FTRT
Arsenal,West Brom,3.0,0.0,0.7676203768318214,0.23237962316817865,1,0,1,1
Charlton,Tottenham,0.0,1.0,0.37410071942446044,0.6258992805755395,2,5,-3,0
Aston Villa,Man City,0.0,0.0,0.40606871932173133,0.5939312806782686,0,0,0,1
Blackburn,Liverpool,1.0,3.0,0.29836065573770487,0.701639344262295,0,0,0,0
Everton,Birmingham,1.0,0.0,0.5369739936124661,0.4630260063875337,2,0,2,0
Leeds,Sunderland,3.0,1.0,0.598105548037889,0.40189445196211093,0,0,0,0
Southampton,Chelsea,1.0,3.0,0.29836065573770487,0.701639344262295,0,0,0,0
Birmingham,Leeds,0.0,3.0,0.22456813819577734,0.7754318618042226,0,2,-2,1
Man City,Everton,3.0,3.0,0.5181471354996935,0.4818528645003065,0,0,0,1
Middlesbrough,Blackburn,1.0,3.0,0.40606871932173133,0.5939312806782686,0,1,-1,1
Sunderland,Man United,0.0,1.0,0.1796440489432703,0.8203559510567296,0,1,-1,0
Tottenham,Southampton,3.0,0.0,0.537421011405268,0.46257898859473184,1,0,1,1
West Brom,Fulham,0.0,1.0,0.3418130709768096,0.6581869290231904,1,6,-5,1
West Ham,Charlton,1.0,3.0,0.5194323346628328,0.4805676653371672,1,4,-3,0
Bolton,Aston Villa,0.0,0.0,0.358974358974359,0.641025641025641,0,0,0,1
Chelsea,Arsenal,1.0,1.0,0.3,0.7,2,4,-2,0
Liverpool,Newcastle,3.0,0.0,0.5561735261401557,0.44382647385984425,2,0,2,0
Man United,Middlesbrough,3.0,1.0,0.6750548482064168,0.3249451517935832,0,0,0,1
Arsenal,Man City,3.0,0.0,0.6732318520174758,0.3267681479825242,4,0,4,1
Middlesbrough,Sunderland,2.0,2.0,0.4262295081967213,0.5737704918032787,0,0,0,1
Aston Villa,Charlton,1.5,3.0,0.4990403071017275,0.5009596928982726,0,1,-1,1
Blackburn,Chelsea,1.0,2.0,0.3595505617977528,0.6404494382022472,0,2,-2,0
Fulham,Tottenham,3.0,2.0,0.37779339423752634,0.6222066057624737,2,1,1,1
Liverpool,Birmingham,2.0,0.5,0.7186932849364793,0.2813067150635209,2,0,2,0
Man United,Bolton,3.0,0.0,0.7472826086956521,0.25271739130434784,2,0,2,0
Newcastle,Leeds,3.0,1.5,0.4262295081967213,0.5737704918032787,3,0,3,0
Southampton,Everton,1.0,1.5,0.4482758620689655,0.5517241379310345,0,0,0,1
West Ham,West Brom,0.5,0.0,0.5721821558722107,0.42781784412778934,1,1,0,0
Bolton,Liverpool,1.5,2.0,0.2065174481901617,0.7934825518098385,0,1,-1,0
Charlton,Arsenal,0.0,1.0,0.1796440489432703,0.8203559510567296,1,2,-1,0
Chelsea,Newcastle,1.0,0.5,0.4688643178797028,0.5311356821202973,1,1,0,1
