HomeTeam,AwayTeam,HPPG,APPG,FTH,FTDA,home_poisson,away_poisson,poisson_df,FTRT
Newcastle,Tottenham,1.8,1.2,0.3510110644792064,0.6489889355207936,2,2,0,1
Brentford,Sheffield United,0.6,0.8,0.6624541377904607,0.3375458622095394,1,2,-1,1
Burnley,Brighton,1.0,0.8,0.27149321266968324,0.7285067873303167,0,2,-2,0
Man City,Luton,2.2,0.2,0.8636363636363636,0.13636363636363635,2,0,2,1
Nott'm Forest,Wolves,1.4,1.4,0.4509283819628648,0.5490716180371353,1,1,0,0
Bournemouth,Man United,2.0,1.4,0.393939393939394,0.6060606060606061,1,1,0,0
Liverpool,Crystal Palace,2.6,0.4,0.7837283075200598,0.21627169247994033,2,0,2,0
West Ham,Fulham,1.2,1.0,0.39823008849557523,0.6017699115044248,1,3,-2,0
Arsenal,Aston Villa,3.0,2.0,0.7389083432389886,0.2610916567610113,2,1,1,0
Chelsea,Everton,2.0,0.4,0.5609973285841497,0.4390026714158505,2,0,2,1
