HomeTeam,AwayTeam,B365H,B365D,B365A,form_dif,st_dif,FTH,poisson_df,ht_poisson_df,FTRT,y_pred,Profit,Bankroll,Proba
Liverpool,West Brom,1.4,4.75,10.0,0.5333333333333333,0.5108695652173914,0.6969919295671314,0.35294117647058826,0.5,0,1,-1.0,99.0,0.775303197083389
Man United,Crystal Palace,1.3,5.5,9.5,0.7666666666666666,0.5869565217391305,0.7282229965156793,0.5294117647058824,0.5833333333333334,0,1,-1.0,98.0,0.7868660322659132
Man United,Chelsea,2.37,3.6,2.8,0.43333333333333335,0.31521739130434784,0.3992395437262357,0.35294117647058826,0.5833333333333334,0,0,0.4962500000000001,98.49625,0.43477555699674053
Sunderland,Southampton,2.5,3.2,2.5,0.43333333333333335,0.3478260869565218,0.3595505617977528,0.29411764705882354,0.5,0,0,0.33333333333333326,98.82958333333333,0.39514697397999377
Burnley,West Brom,2.25,3.3,3.6,0.6333333333333333,0.3695652173913044,0.43349753694581283,0.35294117647058826,0.5,0,0,0.6356521739130432,99.46523550724638,0.46465634598287076
Arsenal,Everton,1.18,8.0,12.0,0.8333333333333334,0.5543478260869565,0.802675585284281,0.47058823529411764,0.5833333333333334,1,1,0.17999999999999994,99.64523550724638,0.8373334493845704
Tottenham,Fulham,1.61,3.4,6.0,0.7000000000000001,0.5,0.5740980469409579,0.4117647058823529,0.5,1,1,0.6100000000000001,100.25523550724638,0.6379670476046381
Burnley,West Ham,2.6,3.25,2.8,0.5666666666666667,0.4347826086956522,0.3664921465968586,0.35294117647058826,0.5,1,0,-1.0,99.25523550724638,0.399058891995625
Arsenal,Brighton,1.57,4.33,5.5,0.7666666666666666,0.45652173913043476,0.6067809651932196,0.47058823529411764,0.5833333333333334,0,1,-1.0,98.25523550724638,0.6607605427096858
Arsenal,QPR,1.25,5.5,13.0,0.7333333333333334,0.5869565217391305,0.7556142668428005,0.47058823529411764,0.5833333333333334,1,1,0.25,98.50523550724638,0.811991197349449
Stoke,Bournemouth,2.55,3.3,3.0,0.5666666666666667,0.48550724637681164,0.3812824956672444,0.47058823529411764,0.6666666666666666,1,0,-1.0,97.50523550724638,0.4163903732650717
Stoke,Man United,6.5,4.0,1.53,0.5666666666666667,0.28260869565217395,0.1454891239748009,0.35294117647058826,0.5,0,0,0.05135623869801087,97.55659174594439,0.17458090224273673
Man City,Leicester,1.28,6.0,9.5,0.8666666666666667,0.48913043478260876,0.7418011452368558,0.6470588235294118,0.75,0,1,-1.0,96.55659174594439,0.7794653668386055
Wolves,Man City,3.25,3.5,2.0,0.12222222222222223,0.2572463768115943,0.2814070351758794,0.058823529411764705,0.16666666666666666,1,0,-1.0,95.55659174594439,0.33469213216936333
Sunderland,Fulham,2.1,3.25,3.0,0.5,0.4619565217391305,0.4262295081967213,0.35294117647058826,0.5,0,0,0.482,96.03859174594439,0.4792339277431313
Reading,Everton,4.33,3.6,1.83,0.43333333333333335,0.05434782608695648,0.2188711590403955,0.29411764705882354,0.5,1,0,-1.0,95.03859174594439,0.22245418140165643
Wigan,Sunderland,2.05,3.3,4.0,0.3666666666666667,0.4239130434782609,0.4686667850168649,0.35294117647058826,0.5,0,1,-1.0,94.03859174594439,0.5377106114231057
Middlesbrough,Reading,2.25,3.2,3.1,0.6666666666666666,0.5760869565217391,0.41170367296119526,0.35294117647058826,0.5,1,0,-1.0,93.03859174594439,0.4609168896265116
QPR,Swansea,2.1,3.4,3.5,0.4333333333333333,0.41304347826086957,0.4509283819628648,0.35294117647058826,0.5,1,1,1.1,94.13859174594438,0.5090063446882046
